,age,height,weight,bilirubin_apache,creatinine_apache,heart_rate_apache,map_apache,paco2_apache,wbc_apache,d1_heartrate_max,h1_spo2_max,h1_temp_max,h1_temp_min,d1_albumin_max,d1_albumin_min,d1_bilirubin_max,d1_bilirubin_min,d1_bun_max,d1_bun_min,d1_glucose_min,d1_hco3_max,d1_hco3_min,d1_inr_max,d1_inr_min,d1_lactate_max,d1_lactate_min,d1_platelets_max,d1_platelets_min,d1_potassium_max,d1_potassium_min,d1_sodium_max,d1_sodium_min,d1_wbc_max,d1_wbc_min,h1_albumin_max,h1_albumin_min,h1_bilirubin_max,h1_bilirubin_min,h1_bun_max,h1_bun_min,h1_calcium_max,h1_calcium_min,h1_creatinine_max,h1_creatinine_min,h1_glucose_max,h1_glucose_min,h1_hco3_max,h1_hco3_min,h1_hematocrit_max,h1_hematocrit_min,h1_inr_max,h1_inr_min,h1_lactate_max,h1_lactate_min,h1_sodium_max,h1_sodium_min,d1_arterial_po2_max,d1_arterial_po2_min,d1_pao2fio2ratio_max,d1_pao2fio2ratio_min,h1_arterial_pco2_max,h1_arterial_pco2_min,h1_arterial_ph_max,h1_arterial_ph_min,h1_arterial_po2_max,h1_arterial_po2_min,h1_pao2fio2ratio_max,h1_pao2fio2ratio_min,bmi
count,76317.0,77978.0,77086.0,29109.0,64575.0,79003.0,78931.0,18540.0,61408.0,79014.0,75355.0,61223.0,61223.0,36066.0,36066.0,32682.0,32682.0,71249.0,71249.0,74800.0,67258.0,67258.0,29693.0,29693.0,21350.0,21350.0,67993.0,67993.0,71972.0,71972.0,71544.0,71544.0,68680.0,68680.0,6888.0,6888.0,6310.0,6310.0,15753.0,15753.0,15196.0,15196.0,15884.0,15884.0,35387.0,35387.0,14808.0,14808.0,16616.0,16616.0,29693.0,29693.0,7174.0,7174.0,17763.0,17763.0,28333.0,28333.0,22583.0,22583.0,13872.0,13872.0,13770.0,13770.0,14017.0,14017.0,10343.0,10343.0,76468.0
mean,62.452,169.565,85.115,1.17,1.547,99.831,87.278,42.267,12.228,103.221,98.11,36.721,36.613,2.947,2.876,1.162,1.088,26.64,24.458,116.256,24.442,23.106,1.583,1.47,2.907,2.075,206.743,195.752,4.276,3.938,139.13,137.615,12.578,11.344,3.001,3.0,1.161,1.16,26.701,26.68,8.294,8.287,1.583,1.581,178.462,168.67,22.395,22.336,33.631,33.259,1.583,1.47,3.045,2.99,138.093,137.803,163.882,102.107,287.154,223.133,44.581,43.345,7.336,7.326,162.316,144.697,246.088,238.059,29.601
std,16.447,10.835,25.466,2.276,1.604,30.622,42.059,12.379,6.928,21.941,3.11,0.772,0.796,0.668,0.673,2.236,2.114,21.063,19.219,40.593,4.404,5.125,0.944,0.739,3.035,2.063,89.414,87.875,0.678,0.586,4.817,4.921,6.777,5.918,0.733,0.733,2.343,2.342,21.893,21.88,0.882,0.891,1.62,1.618,102.198,96.051,5.324,5.329,6.735,6.889,0.944,0.739,2.923,2.879,5.705,5.646,106.283,60.509,130.731,118.622,14.714,14.138,0.107,0.11,111.87,99.287,131.004,128.015,8.488
min,0.0,137.2,38.6,0.1,0.3,30.0,40.0,18.0,0.9,58.0,0.0,33.4,32.9,1.2,1.1,0.2,0.2,4.0,3.0,33.0,12.0,7.0,0.9,0.9,0.4,0.4,27.0,18.55,2.8,2.4,123.0,117.0,1.2,0.9,1.1,1.1,0.2,0.2,4.0,4.0,5.6,5.3,0.33,0.33,59.0,42.0,6.0,6.0,16.0,15.5,0.9,0.9,0.4,0.4,114.0,114.0,39.0,28.0,54.8,36.0,15.0,14.997,6.93,6.9,34.0,31.0,42.0,38.0,14.845
25%,53.0,162.5,67.7,0.4,0.73,87.0,53.0,34.7,7.58,88.0,97.0,36.4,36.3,2.5,2.4,0.4,0.4,13.0,12.0,91.0,22.0,20.0,1.1,1.1,1.2,1.0,148.0,137.0,3.8,3.6,136.0,135.0,8.1,7.5,2.5,2.5,0.4,0.4,13.0,13.0,7.8,7.8,0.8,0.8,114.0,109.0,20.0,20.0,29.0,28.3,1.1,1.1,1.3,1.2,135.0,135.0,88.0,68.0,192.0,131.683,36.0,35.0,7.288,7.278,80.0,77.0,143.258,137.0,23.875
50%,65.0,170.0,81.6,0.7,1.0,104.0,66.0,40.1,10.5,101.0,99.0,36.7,36.7,3.0,2.9,0.65,0.6,20.0,18.0,109.0,24.0,23.0,1.3,1.2,1.9,1.5,195.0,186.0,4.2,3.9,139.0,138.0,11.1,10.18,3.0,3.0,0.6,0.6,19.0,19.0,8.3,8.3,1.04,1.04,147.0,140.0,23.0,23.0,33.5,33.1,1.3,1.2,2.0,2.0,139.0,138.0,126.0,85.0,274.0,204.286,42.0,41.0,7.35,7.34,119.0,107.0,226.0,216.833,28.03
75%,75.0,177.8,98.4,1.1,1.61,120.0,124.0,47.0,15.3,117.0,100.0,37.1,37.0,3.4,3.4,1.1,1.0,33.0,30.0,134.0,27.0,26.0,1.6,1.5,3.3,2.268,251.0,241.0,4.6,4.3,142.0,141.0,15.4,13.8,3.5,3.5,1.1,1.1,32.0,32.0,8.8,8.8,1.61,1.6,205.0,195.0,25.0,25.0,38.2,38.0,1.6,1.5,3.6,3.5,141.0,141.0,204.8,115.0,367.667,297.5,49.2,48.0,7.404,7.399,213.0,179.0,331.514,323.0,33.42
max,89.0,195.59,186.0,60.2,11.18,178.0,200.0,95.0,45.8,177.0,100.0,39.5,39.3,4.6,4.5,60.2,58.0,126.0,113.09,288.0,40.0,39.0,7.756,6.127,19.8,15.1,585.0,557.45,7.0,5.8,158.0,153.0,46.08,40.898,4.7,4.7,58.0,58.0,135.0,135.0,11.4,11.315,11.604,11.571,695.045,670.0,39.0,39.0,51.7,51.5,7.756,6.127,18.1,18.02,157.0,157.0,540.865,448.892,834.805,604.228,111.505,107.0,7.57,7.563,534.905,514.905,720.0,654.814,67.815
median,65.0,170.0,81.6,0.7,1.0,104.0,66.0,40.1,10.5,101.0,99.0,36.7,36.7,3.0,2.9,0.65,0.6,20.0,18.0,109.0,24.0,23.0,1.3,1.2,1.9,1.5,195.0,186.0,4.2,3.9,139.0,138.0,11.1,10.18,3.0,3.0,0.6,0.6,19.0,19.0,8.3,8.3,1.04,1.04,147.0,140.0,23.0,23.0,33.5,33.1,1.3,1.2,2.0,2.0,139.0,138.0,126.0,85.0,274.0,204.286,42.0,41.0,7.35,7.34,119.0,107.0,226.0,216.833,28.03
missing,2842.0,1181.0,2073.0,50050.0,14584.0,156.0,228.0,60619.0,17751.0,145.0,3804.0,17936.0,17936.0,43093.0,43093.0,46477.0,46477.0,7910.0,7910.0,4359.0,11901.0,11901.0,49466.0,49466.0,57809.0,57809.0,11166.0,11166.0,7187.0,7187.0,7615.0,7615.0,10479.0,10479.0,72271.0,72271.0,72849.0,72849.0,63406.0,63406.0,63963.0,63963.0,63275.0,63275.0,43772.0,43772.0,64351.0,64351.0,62543.0,62543.0,49466.0,49466.0,71985.0,71985.0,61396.0,61396.0,50826.0,50826.0,56576.0,56576.0,65287.0,65287.0,65389.0,65389.0,65142.0,65142.0,68816.0,68816.0,2691.0
